id,name,ibu,ibu_category,ibu_category_nbr,srm,srm_category,srm_category_nbr,abv,abv_category,abv_category_nbr,ebc,attenuation_level,attenuation_category,attenuation_category_nbr,description,image_url,ph,tagline,brewers_tips,outcome,malts_name,amount.unit_x,hops_name,hops_add,hops_attribute,amount.unit_y,food_pairing
51,TM10,20.0,IBU Low,1,7.0,Deep Gold,4,5.5,ABV Low,1,14.0,89.6,Atten High,3,Brewed for the Tate Modernâ€™s 10th Anniversary. A saison style beer brewed with ginger and orange peel. Very limited batch of 4000 cork and caged bottles with a silk screened label designed by Johanna Basford. Only available at the Tate Modern.,https://images.punkapi.com/v2/51.png,4.2,Liquid Art.,"For a fresh and fiery hit, put some ginger into the cold conditioning phase as well.",IBU Low Deep Gold ABV Low Atten High,Pale Ale,kilograms,"Bobek,Bobek,Bobek,Ginger,Orange Peel","start,middle,end,end,end","bitter,flavour,flavour,flavour,flavour","grams,grams,grams,grams,grams","Tom yum soup,Andhra chicken pickle curry,Butterscotch tart"
52,Paradox Islay,55.0,IBU High,3,152.0,Black,12,10.0,ABV Medium,2,300.0,84.4,Atten High,3,"In 2006 James and Martin hijacked a beer dinner run by Michael Jackson, the acclaimed beer and whisky writer, and convinced him to taste one of their home brews. This was a defining moment in BrewDog prehistory, and that beer was the first incarnation of the ubiquitous Paradox. Aged in a variety of casks over the years, Paradox is dark, decadent and encapsulating. Can be enjoyed fresh; phenomenal when aged.",https://images.punkapi.com/v2/52.png,4.4,Ubiquitous Imperial Stout.,"The beauty of this beer is in how brilliantly it lends itself to infusing or ageing. Experiment with different additions when the beer is ageing, taste it regularly to gauge its progress, and make sure you package it at its peak.",IBU High Black ABV Medium Atten High,"Extra Pale,Caramalt,Munich,Flaked Oats,Dark Crystal,Carafa Special Malt Type 1,Carafa Special Malt Type 3","kilograms,kilograms,kilograms,kilograms,kilograms,kilograms,kilograms","Columbus,Columbus,Saaz,First Gold","start,middle,end,end","bitter,flavour,flavour,flavour","grams,grams,grams,grams","Ancho chilli beef taco,Chocolate gateaux,Rum poached pears with dark chocolate sauce"
53,Baby Dogma,35.0,IBU Medium,2,20.0,Brown,9,4.5,ABV Low,1,40.0,72.9,Atten Medium,2,"A baby Scotch ale with dry and toasty malt flavours and hints of smoke. Toffee, biscuit and fudge abound with a spicy bitterness from the pan-global hops.",https://images.punkapi.com/v2/keg.png,4.4,Session Scotch Ale.,The addition of Weyermann Beech Smoked malt creates a beer with a delicate smoke character.,IBU Medium Brown ABV Low Atten Medium,"Extra Pale,Munich,Dark Crystal,Wheat,Flaked Oats,Carafa Special Malt Type 3,Amber,Weyermann Beech Smoked","kilograms,kilograms,kilograms,kilograms,kilograms,kilograms,kilograms,kilograms","First Gold,Willamette,Hallertauer Mittelfrüh","start,start,start","bitter,bitter,bitter","grams,grams,grams","French onion soup,Braised pheasant,Caramel sauce and hot fudge"
54,Albino Squid Assasin,65.0,IBU High,3,30.0,Ruby Brown,10,7.4,ABV Low,1,60.0,82.6,Atten High,3,"This tentacled terminator packs a punch - ten punches to be precise. Each hop addition adds to the intense layers of depth in this red rye IPA. Toasty caramel & cinder toffee from crystal malts, cacao richness from intensely roasted malt and the spiciness of rye. Zesty pithiness from Citra and the robust resin of Chinook. This small batch exclusive brew is up-front intensity matched with twisted complexity. The can features awesome custom art from Joe Wilson.",https://images.punkapi.com/v2/54.png,4.2,Red Rye IPA,20% specialty malts in this grist can create problems in the run off. Be careful not to pull the bed down onto the plates.,IBU High Ruby Brown ABV Low Atten High,"Pale Ale,Crystal 150,Dark Crystal,Carafa Special Malt Type 1,Rye","kilograms,kilograms,kilograms,kilograms,kilograms","Magnum,Chinook,Citra,Chinook,Citra,Chinook,Citra","start,middle,middle,end,end,fv,fv","bitter,flavour,flavour,flavour,flavour,aroma,aroma","grams,grams,grams,grams,grams,grams,grams","Rocket and mozzarella salad with a cracked pepper dressing,Fried halibut with sweet potato fritters,Grapefruit and blood orange tart"
55,Amarillo - IPA Is Dead,70.0,IBU High,3,15.0,Deep Amber,8,7.2,ABV Low,1,30.0,82.1,Atten High,3,"Citrus fruit. Lots of citrus fruit. Think blood orange, orange zest and grapefruit, tangerine and lemon; the fruit is balanced by floral notes in the most classic of new wave IPA hops. Amarillo adds a zesty, pithy character that sits beautifully alongside hints of toffee and honeycomb.",https://images.punkapi.com/v2/55.png,4.4,Single Hop India Pale Ale.,"Use the freshest hops for the most impact. It seems obvious but in a single hop beer, you want the hops to be at their best.",IBU High Deep Amber ABV Low Atten High,"Extra Pale,Caramalt,Dark Crystal","kilograms,kilograms,kilograms","Amarillo,Amarillo,Amarillo,Amarillo","start,middle,end,dry hop","bitter,flavour,flavour,aroma","grams,grams,grams,grams","Bratwurst sausage with spicy mustard,Fried American bacon with chilli flakes added to the top,Dark chocolate chip cookies"
56,Black Eyed King Imp,85.0,IBU High,3,125.0,Black,12,9.5,ABV Medium,2,250.0,76.8,Atten Medium,2,"An early Cocoa Psycho recipe that we loved, but didn't fit what we were looking for. We locked this chocolate coffee stout away in barrels for two years, imparting toasted marshmallow, spicy vanilla, molasses and boozy warmth.",https://images.punkapi.com/v2/56.png,4.4,Barrel-Aged Prototype Cocoa Psycho.,There is a huge amount of roasted malts in this grist. Be careful not to pulverise the malt into powder during the milling process.,IBU High Black ABV Medium Atten Medium,"Extra Pale - Spring Blend,Wheat,Caramalt,Crystal,Dark Crystal,Amber,Brown,Chocolate,Roasted Barley","kilograms,kilograms,kilograms,kilograms,kilograms,kilograms,kilograms,kilograms,kilograms","Magnum,Willamette,First Gold","start,end,end","bitter,flavour,flavour","grams,grams,grams","Beef chilli made with cocoa powder,Dark chocolate covered bacon,Rich espresso tiramisu"
57,Prototype 27,149.0,IBU High,3,9.8,Pale Amber,5,9.2,ABV Medium,2,19.5,83.0,Atten High,3,"Hardcore IPA with raspberries aged in Caol Ila casks. Full-bodied and compelling, the robust malt base provides an initial layer of honey, cinnamon and biscuity malt sweetness. Soon the Scottish berries are in on the act, a dominating tug of war between sweet and tart with an overbearing zest. As the beer slips back across your tongue the hops demand and definitely get your attention. At 100 IBUs the bitterness smashes into the back of your throat as the resinous, spiced orange peel flavours add depth to the berry fruitiness.",https://images.punkapi.com/v2/57.png,4.4,Vibrant Smoky Pink IPA.,Soak some oak chips in Caol Ila whisky to get barrel character. Freeze raspberries before adding them to secondary.,IBU High Pale Amber ABV Medium Atten High,"Pale Ale,Crystal 150,Caramalt","kilograms,kilograms,kilograms","Columbus,Centennial,Columbus,Centennial,Columbus,Centennial,Simcoe","start,start,middle,middle,end,end,end","bitter,bitter,flavour,flavour,flavour,flavour,flavour","grams,grams,grams,grams,grams,grams,grams","Strong blue cheese,Cranachan,Chicago style hot links"
58,Coffee Imperial Stout,65.0,IBU High,3,49.0,Black,12,9.0,ABV Medium,2,97.0,76.0,Atten Medium,2,"This beer was released as both as ""Danish Beerhouse Coffee Imperial Stout"" and ""BrewDog Coffee Imperial Stout"". Deep, dark, roasted flavours make this a perfect Sunday brunch beer.",https://images.punkapi.com/v2/58.png,4.4,Beats a Cup of Joe.,Grind the coffee as if making an espresso to really get the most out of it.,IBU High Black ABV Medium Atten Medium,"Extra Pale,Dark Crystal,Chocolate,Roasted Barley","kilograms,kilograms,kilograms,kilograms","Chinook,Galena,Galena,First Gold,Coffee,Coffee","start,start,end,end,end,dry hop","bitter,bitter,flavour,flavour,flavour,aroma","grams,grams,grams,grams,grams,grams","Gooey chocolate brownies,Chicken fried steak with cheesy mash,Spicy chicken empanadas"
59,Mandarina Bavaria - IPA Is Dead,100.0,IBU High,3,6.0,Deep Gold,4,7.2,ABV Low,1,12.0,84.0,Atten High,3,"From the central European plains of Germany, comes something very different. A blast of tangerine and orange, Mandarina Bavaria brings a highly distinctive backbone of flavour. This is down to its parent â€“ Cascade â€“ and a frankly enormous 70% myrcene oil content. If equate Germany solely with earthy, spicy Noble hops, Mandarina Bavaria will make you think again.",https://images.punkapi.com/v2/59.png,4.4,Single Hop India Pale Ale.,We've mentioned the importance of fresh hops previously but this one really demands that your hops are the absolute freshest.,IBU High Deep Gold ABV Low Atten High,Extra Pale,kilograms,"Mandarina Bavaria,Mandarina Bavaria,Mandarina Bavaria","start,middle,end","bitter,flavour,flavour","grams,grams,grams","Lavender and thyme roast beef,Spicy kung po chicken,Caramel and rose essence cheesecake"
60,Dogma,30.0,IBU Medium,2,23.0,Brown,9,7.5,ABV Low,1,46.0,70.0,Atten Medium,2,"Brewed with over ten different types of malt, and blended together with Scottish heather honey, it is a pantheon to the gods of intricacy and nuance; a beer that celebratesa confluence of ideas. Complex, indulgent and encapsulating, Dogma gives more than a cursory nod to history, to make you ponder the very nature of beer itself.",https://images.punkapi.com/v2/60.png,4.5,Revamped Wee Heavy. Luscious. Malty. Fruity.,There's a lot of specialty malt in the mash. Make sure you take the run off nice and steady â€“ increase the flow too much and pull in the bed at your peril.,IBU Medium Brown ABV Low Atten Medium,"Pale Ale,Munich,Caramalt,Crystal,Dark Crystal,Wheat,Flaked Oats,Chocolate,Smoked Malt,Amber,Brown","kilograms,kilograms,kilograms,kilograms,kilograms,kilograms,kilograms,kilograms,kilograms,kilograms,kilograms","Saaz,First Gold","start,start","bitter,bitter","grams,grams","Mature cheddar with red onion chutney,Honey glazed ham,Chocolate caramel drizzled sponge cake"
61,Magic Stone Dog (w/Magic Rock & Stone Brewing Co.),30.0,IBU Medium,2,7.5,Deep Gold,4,4.6,ABV Low,1,15.0,81.4,Atten Medium,2,"A session IPA brewed with a diverse grain bill, hopped with Simcoe and Amarillo and fermented with saison yeast, for an incredible level of depth in a low ABV beer. Spicy, fruity, complex, refreshing and dry.",https://images.punkapi.com/v2/61.png,4.4,Session Farmhouse IPA - Stone / Magic Rock Collab.,Start the fermentation off at 20 ÌŠC and allow it to rise as high as 25 ÌŠC. This will increase the fruity character of the yeast.,IBU Medium Deep Gold ABV Low Atten Medium,"Extra Pale,Wheat,Torrified Wheat,Rye,Flaked Oats,Amber","kilograms,kilograms,kilograms,kilograms,kilograms,kilograms","Simcoe,Amarillo","end,end","flavour,flavour","grams,grams","Halibut with caper brown butter,Creamy gorgonzola and satsuma salad,Spicy Daal with garlic naan bread"
62,AB:08,65.0,IBU High,3,11.5,Medium Amber,6,10.43,ABV Medium,2,23.0,83.2,Atten High,3,"Flavours and aromas you'd expect from a Stout, but brewed without dark malts. The full mouthfeel comes courtesy of wheat and oats, while smoked malt and the twist additions add the complex flavours normally provided by highly kilned malts.",https://images.punkapi.com/v2/62.png,4.4,Deconstructed Blonde Imperial Stout.,Add all twist ingredients to Fermentation Vessel once fermentation is complete. Donâ€™t be afraid to add a little at a time and taste as you go. During mashing in first start with pale malt. Afterwards mix all malts evenly. Go with flaked oats during second half of mashing in process.,IBU High Medium Amber ABV Medium Atten High,"Maris Otter Extra Pale,Wheat,Flaked Oats,Smoked Peaty","kilograms,kilograms,kilograms,kilograms","First Gold,First Gold,Coffee Beans","start,end,end","bitter,flavour,flavour","grams,grams,grams","Caramelised scallops with burnt apple puree,Blackened Cajun chicken,Blondies with chocolate fudge sauce"
63,Sunk Punk,68.0,IBU High,3,7.0,Deep Gold,4,7.1,ABV Low,1,14.0,82.1,Atten High,3,"It's rumoured just a drop can calm the fiercest of storms. A balance of sweet, salt and savoury, citrus, spruce and caramel. Fermented at the bottom of the North Sea, which just so happens to be the perfect temperature for lagers to ferment.",https://images.punkapi.com/v2/63.png,4.4,Ocean Fermented Lager.,Keep the fermentation temperature as steady as possible to allow the lager yeast to do its thing.,IBU High Deep Gold ABV Low Atten High,Extra Pale,kilograms,"Chinook,Ahtanum,Chinook,Ahtanum,Chinook,Ahtanum,Simcoe,Nelson Sauvin","start,start,middle,middle,end,end,end,end","bitter,bitter,flavour,flavour,flavour,flavour,flavour,flavour","grams,grams,grams,grams,grams,grams,grams,grams","Salt baked cod with lemon and dill butter,Beef, oyster and ale pie,Apple and rosemary tart"
64,Sub Hop,35.0,IBU Medium,2,7.5,Deep Gold,4,8.0,ABV Low,1,15.0,79.2,Atten Medium,2,"Brewed for the opening of our first bar in Italy, BrewDog Firenze. A mega-hoppy Imperial Pilsner, with toasty malt complexity and tropical New World hops.",https://images.punkapi.com/v2/64.png,4.4,Hopped-Up Imperial Pilsner.,Sit this beer aside for a month to allow it to mellow.,IBU Medium Deep Gold ABV Low Atten Medium,"Extra Pale,Munich,Dextrose","kilograms,kilograms,kilograms","Saaz,Hallertauer Mittelfrüh,Pacifica,Pacific Jade,Pacifica,Pacific Jade,Pacifica","start,middle,end,end,end,dry hop,dry hop","bitter,flavour,flavour,flavour,flavour,aroma,aroma","grams,grams,grams,grams,grams,grams,grams","Seared lemon and herb salmon,Crab linguine,Almond biscotti"
65,Bracken's Porter,50.0,IBU High,3,55.0,Black,12,5.0,ABV Low,1,110.0,79.0,Atten Medium,2,"The beer was named Brackenâ€™s Porter as a tribute to our favourite four pawed friend who sadly passed in 2013. Chocolately, robust, warming, laid back and lots of fun - there are plenty of similarities between the two. Bracken we miss you and we hope you like your beer. Long live the original BrewDog.",https://images.punkapi.com/v2/keg.png,4.4,A Tribute To Our Favourite 4 Pawed Friend.,Try to replicate Londonâ€™s highly carbonated water to really emphasise the dark malt profile.,IBU High Black ABV Low Atten Medium,"Extra Pale,Dark Crystal,Roasted Barley,Black Malt","kilograms,kilograms,kilograms,kilograms","Vic Secret,Bramling Cross,Challenger","start,end,end","bitter,aroma,aroma","grams,grams,grams","Grilled vegetable and chicken teriyaki skewers,Chilli covered burger (Sloppy Joe),Candied bacon topped chocolate cheesecake"
66,Tokyo Rising Sun - Lowland,85.0,IBU High,3,71.0,Black,12,13.2,ABV Medium,2,140.0,82.17,Atten High,3,"A forgotten gem in the deepest, darkest corner of the warehouse. Aged in a Lowland whisky cask resulting in decadent chocolate, toasted vanilla, indulgent spiced fruit, a mesmerizingly hypnotic mouthfeel and new layers that emerge on every sip.",https://images.punkapi.com/v2/66.png,4.4,A Beautiful Accident.,Leave on wood for as long as you dare. If possible forget about it for four years.,IBU High Black ABV Medium Atten High,"Extra Pale,Dark Crystal,Chocolate,Roasted Barley","kilograms,kilograms,kilograms,kilograms","Chinook,Galena,Chinook,Galena,Galena,First Gold,Chinook","start,start,start,start,end,end,end","bitter,bitter,bitter,bitter,flavour,flavour,flavour","grams,grams,grams,grams,grams,grams,grams","Duck liver paté,Mutton stew,Kirsch chocolate truffles"
67,Hunter Foundation Pale Ale,35.0,IBU Medium,2,5.75,Pale Gold,3,5.4,ABV Low,1,11.5,84.0,Atten High,3,"This straight-up US style pale ale uses some of our favourite hops against a toasty malt base. We brewed this with Sir Tom Hunter at our Fraserburgh brewery - to add a charitable element to your own version, feel free to share this citrusy pale ale with your friends. Or don't, it's your choice.",https://images.punkapi.com/v2/67.png,4.4,American Pale Ale.,"To dry the beer out, mash at a slightly lower temp (62Â° - 63Â°C), this will increase the ratio of fermentable sugars in the beer.",IBU Medium Pale Gold ABV Low Atten High,"Maris Otter Extra Pale,Munich","kilograms,kilograms","Amarillo,Simcoe,Amarillo,Citra","start,start,end,end","bitter,bitter,flavour,flavour","grams,grams,grams,grams","Monterey Jack stuffed grilled jalepenos,Barbecue corn and steak fajita seasoned wrap,Cinnamon & white chocolate churro"
68,Hype,65.0,IBU High,3,8.5,Pale Amber,5,4.1,ABV Low,1,17.0,76.2,Atten Medium,2,A perfect pale ale showcase for the tropical profile of New Zealand hops and the intense citrus of US hops.,https://images.punkapi.com/v2/keg.png,4.4,New Zealand Pale Ale.,"After the beer has fermented, leave it to rest for 2 â€“ 3 days at the lowest temperature possible (ideally 0 â€“ 2'C). This will allow the flavours to marry together, and will transform it into a balanced and amazing beer.",IBU High Pale Amber ABV Low Atten Medium,Maris Otter Extra Pale,kilograms,"Nelson Sauvin,Nelson Sauvin,Amarillo","start,end,end","bitter,flavour,flavour","grams,grams,grams","Quince cheese,Shredded chicken and mango salsa taquitos,Poached pear"
69,AB:16,55.0,IBU High,3,15.0,Deep Amber,8,10.6,ABV Medium,2,30.0,86.7,Atten High,3,"On the nose, clove and nutmeg, cafe au lait, subtle dark fruit notes, and hints of candied lemon peel. On the palate, smooth & fruity espresso, milk chocolate, and warm brandy-soaked currants are in the middle of a high-class dance-off against the spicy and peppery Belgian character. The overall impression evokes malt loaf or ginger cake.",https://images.punkapi.com/v2/69.png,4.4,Coffee-Infused Belgian Quad.,"For the traditional cellering, age this beer in vessel or bottle for 2 - 3 months at cellar temperature.",IBU High Deep Amber ABV Medium Atten High,"Extra Pale,Wheat,Munich,Crystal 150,Chocolate","kilograms,kilograms,kilograms,kilograms,kilograms","Waimea,Saaz,Fuggles","start,middle,middle","bitter,flavour,flavour","grams,grams,grams","Roasted duck,Gorgonzola and rye nut bread with smoked honey ham,Raspberry coffee cheesecake"
70,Sunmaid Stout,50.0,IBU High,3,100.0,Black,12,10.2,ABV Medium,2,197.0,74.5,Atten Medium,2,"Brewed by Chris Sartori from Stone Brewing Company in 2010. A dark chocolate stout with dried dark fruit finish. Simcoe provides bitterness with subtle fruity supporting notes, contrasting the chocolate and coffee-laden malt profile. The finish is warming with vanilla and rich dark fruit depth.",https://images.punkapi.com/v2/keg.png,4.4,Rum & Raisin Imperial Stout.,"Take small volume of wort out of the run off and steep the raisins in it, then crush them up. This will help to release the dark fruit aromas into the wort.",IBU High Black ABV Medium Atten Medium,"Pale Ale - Tipple,Chocolate,Carafa Special Malt Type 3,Crystal,Flaked Oats","kilograms,kilograms,kilograms,kilograms,kilograms","Simcoe,Challenger","start,end","bitter,flavour","grams,grams","Lapin aux pruneaux (braised rabbit with prunes),Gouda cheese,Dark chocolate truffles"
71,Pale - Russian Doll,35.0,IBU Medium,2,22.5,Brown,9,4.0,ABV Low,1,45.0,75.6,Atten Medium,2,"The levels of hops vary throughout the range. We love hops, so all four beers are big, bitter badasses, but by tweaking the amount of each hop used later in the boil and during dry- hopping, we can balance the malty backbone with some unexpected flavours. Simcoe is used in the whirlpool for all four beers, and yet still lends different characters to each.",https://images.punkapi.com/v2/71.png,5.2,Nesting Hop Bomb.,Create balance through experimentation with the hop amounts and malt backbone.,IBU Medium Brown ABV Low Atten Medium,"Extra Pale,Caramalt,Dark Crystal","kilograms,kilograms,kilograms","Cascade,Centennial,Citra,Simcoe,Simcoe,Cascade,Centennial,Citra","start,middle,middle,end,dry hop,dry hop,dry hop,dry hop","bitter,flavour,flavour,flavour,aroma,aroma,aroma,aroma","grams,grams,grams,grams,grams,grams,grams,grams","Roast chicken with vegetables and wild rice,Fresh pico de gallo with corn tortilla,Carrot cake"
72,Whisky Sour - B-Sides,20.0,IBU Low,1,6.0,Deep Gold,4,7.0,ABV Low,1,12.0,74.0,Atten Medium,2,"Deconstructed whisky sour, reconstructed as a beer.",https://images.punkapi.com/v2/keg.png,3.2,Pilot Brew - Deconstructed Whisky Sour.,Lemon poppyseed donuts.,IBU Low Deep Gold ABV Low Atten Medium,"Extra Pale,Acidulated Malt,Wheat Malt,Rye,Special W","kilograms,kilograms,kilograms,kilograms,kilograms","Amarillo,Citra,Simcoe,Amarillo,Citra,Simcoe,Amarillo,Citra,Simcoe","start,start,start,end,end,end,dry hop,dry hop,dry hop","bitter,bitter,bitter,flavour,flavour,flavour,aroma,aroma,aroma","grams,grams,grams,grams,grams,grams,grams,grams,grams","Potted fresh & smoked salmon,Spiced nut loaf,Lemon poppyseed donuts"
73,Black Eyed King Imp - Vietnamese Coffee Edition,85.0,IBU High,3,125.0,Black,12,12.7,ABV Medium,2,250.0,76.8,Atten Medium,2,"This is the Vietnamese Coffee Edition. At 12.7% ABV, Black Eyed King Imp is a super intense and twistedly complex brew, with intense notes of sweet vanilla, rich espresso, smooth molasses and bitter chocolate barely contained by the whatever container it's in.",https://images.punkapi.com/v2/73.png,5.2,Vietnamese Coffee Edition.,Buying top notch coffee beans make a huge difference here. Give them a very course grind to get the most out of them.,IBU High Black ABV Medium Atten Medium,"Extra Pale,Wheat,Caramalt,Crystal,Dark Crystal,Amber,Brown,Chocolate,Roasted Barley","kilograms,kilograms,kilograms,kilograms,kilograms,kilograms,kilograms,kilograms,kilograms","Magnum,Willamette,First Gold","start,end,end","bitter,bitter,aroma / bitter","grams,grams,grams","Bacon sandwich with brown sauce,20hr smoked brisket,Chocolate fudge ice cream"
74,Eurotrash,52.0,IBU High,3,8.5,Pale Amber,5,4.1,ABV Low,1,17.0,76.0,Atten Medium,2,"Trashy Blonde with a Belgian Twist. Clove oil, red apples and a drier mouthfeel set this beer apart from its older sister.",https://images.punkapi.com/v2/keg.png,5.2,Belgian Blonde.,Don't be scared to let the fermentation temperature climb up another couple of degrees to really emphasize the Belgian character.,IBU High Pale Amber ABV Low Atten Medium,"Extra Pale,Caramalt,Munich","kilograms,kilograms,kilograms","Simcoe,Amarillo,Simcoe,Amarillo,Motueka,Simcoe,Amarillo,Motueka,Simcoe,Amarillo,Motueka","start,start,middle,middle,middle,end,end,end,dry hop,dry hop,dry hop","bitter,bitter,flavour,flavour,flavour,flavour,flavour,flavour,aroma,aroma,aroma","grams,grams,grams,grams,grams,grams,grams,grams,grams,grams,grams","Grilled fish salad,Angelfood cake,Pad Thai"
75,Never Mind The Anabolics,35.0,IBU Medium,2,11.5,Medium Amber,6,6.5,ABV Low,1,23.0,76.0,Atten Medium,2,"Never Mind the Anabolics, a 6.5% India Pale Ale brewed with copious amounts of performance-enhancing natural ingredients. Brewed to commemorate the 2012 Olympics and its merry marketing bandwagon.",https://images.punkapi.com/v2/75.png,4.4,Performance-Enhancing India Pale Ale.,Mix the powders into a paste before adding to the wort kettle. This will prevent the powders from balling up and not bringing the full flavour effect.,IBU Medium Medium Amber ABV Low Atten Medium,"Extra Pale - Spring Blend,Wheat,Caramalt","kilograms,kilograms,kilograms","Motueka,Motueka","start,end","bitter,flavour","grams,grams","Grilled chicken salad with bacon and avocado,Red pepper houmous and flat bread,Matcha green tea cake"
76,#Mashtag 2013,50.0,IBU High,3,20.0,Brown,9,7.5,ABV Low,1,40.0,81.4,Atten Medium,2,"A rich, nutty Brown Ale with a deep, rich malt profile, hopped with a range of citrusy and spicy US varieties. Mellow yet endlessly complex, with enough chocolate and fruit character to balance the bitterness, and a soft oaky roundness.",https://images.punkapi.com/v2/76.png,4.4,Democratic American Brown Ale.,Add the hazelnuts and oak chips during the cold conditioning phase.,IBU High Brown ABV Low Atten Medium,"Extra Pale,Dark Crystal,Caramalt,Amber,Chocolate","kilograms,kilograms,kilograms,kilograms,kilograms","Motueka,Magnum,Cascade,Amarillo,Cascade,Amarillo,Willamette","start,start,middle,middle,end,end,end","bitter,bitter,flavour,flavour,flavour,flavour,flavour","grams,grams,grams,grams,grams,grams,grams","Roast beef,Roasted butternut squash,Hazelnut brittle"
77,Hobo Pop,50.0,IBU High,3,15.0,Deep Amber,8,4.2,ABV Low,1,30.0,76.2,Atten Medium,2,"Brewed with mountains of Wheat, Rye, Cara and Crystal malts, fermented with an American ale yeast and bittered with Amarillo & Centennial, this 4.2% beer is what happens if something classy like a European wheat beer goes to live in Vegas. Zingy citrus hops and a punchy bitterness bolster this low ABV pale.",https://images.punkapi.com/v2/77.png,4.4,2013 Prototype Rye Pale Ale.,Add the rye and wheat malt evenly through the mash.,IBU High Deep Amber ABV Low Atten Medium,"Extra Pale,Caramalt,Crystal 150,Wheat,Rye","kilograms,kilograms,kilograms,kilograms,kilograms","Centennial,Amarillo,Centennial,Amarillo,Centennial,Amarillo,Centennial","start,start,middle,middle,end,dry hop,dry hop","bitter,bitter,flavour,flavour,flavour,aroma,aroma","grams,grams,grams,grams,grams,grams,grams","Mozzarella and tomato baked chicken,Spiced shrimp salad,Strawberry cheescake"
78,AB:18,80.0,IBU High,3,57.5,Black,12,11.8,ABV Medium,2,115.0,79.2,Atten Medium,2,"AB:18 began life as an Imperial Brown Ale before we bombarded it with Scottish tayberries and Purple raspberries and locked it away in rum barrels for two years, infusing rich dark fruit flavours and oaky warmth into the mix.",https://images.punkapi.com/v2/78.png,5.2,Imperial Brown Ale Aged In Rum Casks.,Blend aged beer with a fresh brewed black ale in a 70-30 ratio to add bursts of blackcurrant and citrus.,IBU High Black ABV Medium Atten Medium,"Extra Pale - Spring Blend,Caramalt,Dark Crystal,Carafa Special Malt Type 1,Chocolate,Brown,Flaked Oats","kilograms,kilograms,kilograms,kilograms,kilograms,kilograms,kilograms","Galena,Willamette,First Gold","start,end,end","bitter,bitter,flavour","grams,grams,grams","Kippers and poached eggs,Slow cooked lamb shoulder with mint sauce,Apple and blackcurrant cobbler"
79,Hops Kill Nazis,70.0,IBU High,3,29.5,Ruby Brown,10,7.6,ABV Low,1,59.0,79.5,Atten Medium,2,"5AM Saint's big brother. Dry- hopping with Chinook gave Hops Kill Nazis a full-on, instantly recognisable US hop character - huge resinous aromas (think giant redwood) with a bitter grapefruit edge. The caramel malts bring flavours of toffee and burnt sugar, which gave Hops Kill Nazis a big, complex malt base supporting the intense hopping.",https://images.punkapi.com/v2/79.png,4.4,Imperial Red Ale.,A red colour is a difficult hue to achieve in beer. Experiment with different amounts of Crystal malt to fine tune the colour.,IBU High Ruby Brown ABV Low Atten Medium,"Maris Otter Extra Pale,Caramalt,Crystal 150","kilograms,kilograms,kilograms","Chinook,Chinook,Centennial,Chinook","start,end,end,dry hop","bitter,flavour,flavour,aroma","grams,grams,grams,grams","Candied almond and blue cheese rocket salad,Chicken Tikka Madras,Pecan pie"
80,AB:04,80.0,IBU High,3,200.0,Black,12,15.0,ABV Medium,2,400.0,84.1,Atten High,3,"Imperial Stout brewed with coffee, cocoa, Naga chillies (the hottest in the world), and champagne yeast. Possibly our most acclaimed Abstrakt yet.",https://images.punkapi.com/v2/80.png,4.0,"Imperial Stout With Coffee, Loads Of Cocoa And Chilli.","Make sure you can get the coffee, cocoa and chillies out of the beer when the flavours are right.",IBU High Black ABV Medium Atten High,"Pale Ale,Wheat Malt,Flaked Oats,Dark Crystal 350,Chocolate,Black Patent","kilograms,kilograms,kilograms,kilograms,kilograms,kilograms","First Gold,Fuggles,Fuggles,Coffee Beans","start,start,end,end","bitter,bitter,flavour,flavour","grams,grams,grams,grams","Beef mahaca on corn tortillas,Chilli and dark chocolate tart,Epoisses cheese"
81,India Session Lager - Prototype Challenge,35.0,IBU Medium,2,6.0,Deep Gold,4,4.4,ABV Low,1,12.0,79.5,Atten Medium,2,"BrewDogâ€™s level of dry-hop to a beer formed with a baseline of 100% pilsner malt â€“ and at under 4.5% ABV â€“ gives you a style that flirts at the edges of several others. Think aromas of fresh cut grass, nettle, white grape, melon, tangerine - with similar flavours leading to a dry, bitter finish.",https://images.punkapi.com/v2/keg.png,4.4,Refreshing Hop Fix.,Let the beer lager at a low temperature for 3-4 weeks before adding the dry hops.,IBU Medium Deep Gold ABV Low Atten Medium,"Pilsner,Dextrin Malt","kilograms,kilograms","Chinook,Amarillo,Simcoe,Citra,Mosaic,Amarillo,Simcoe,Citra","start,end,end,end,end,dry hop,dry hop,dry hop","bitter,flavour,flavour,flavour,flavour,flavour,flavour,aroma","grams,grams,grams,grams,grams,grams,grams,grams","Tomato and rosemary palmiers,Bratwurst with sauerkraut,Lemon drizzle cake"
